NM_MUNICIP,CD_GEOCMU,CONT
TOMÉ-AÇU,1508001,285
TRACUATEUA,1508035,286
TRAIRÃO,1508050,287
TUCUMÃ,1508084,288
TUCURUÍ,1508100,289
ULIANÓPOLIS,1508126,290
URUARÁ,1508159,291
VIGIA,1508209,292
VISEU,1508308,293
VITÓRIA DO XINGU,1508357,294
XINGUARA,1508407,295
SERRA DO NAVIO,1600055,296
AMAPÁ,1600105,297
PEDRA BRANCA DO AMAPARI,1600154,298
CALÇOENE,1600204,299
CUTIAS,1600212,300
FERREIRA GOMES,1600238,301
ITAUBAL,1600253,302
LARANJAL DO JARI,1600279,303
MACAPÁ,1600303,304
MAZAGÃO,1600402,305
OIAPOQUE,1600501,306
PORTO GRANDE,1600535,307
PRACUÚBA,1600550,308
SANTANA,1600600,309
TARTARUGALZINHO,1600709,310
VITÓRIA DO JARI,1600808,311
ABREULÂNDIA,1700251,312
AGUIARNÓPOLIS,1700301,313
ALIANÇA DO TOCANTINS,1700350,314
ALMAS,1700400,315
ALVORADA,1700707,316
ANANÁS,1701002,317
ANGICO,1701051,318
APARECIDA DO RIO NEGRO,1701101,319
ARAGOMINAS,1701309,320
ARAGUACEMA,1701903,321
ARAGUAÇU,1702000,322
ARAGUAÍNA,1702109,323
ARAGUANÃ,1702158,324
ARAGUATINS,1702208,325
ARAPOEMA,1702307,326
ARRAIAS,1702406,327
AUGUSTINÓPOLIS,1702554,328
AURORA DO TOCANTINS,1702703,329
AXIXÁ DO TOCANTINS,1702901,330
BABAÇULÂNDIA,1703008,331
BANDEIRANTES DO TOCANTINS,1703057,332
BARRA DO OURO,1703073,333
BARROLÂNDIA,1703107,334
BERNARDO SAYÃO,1703206,335
BOM JESUS DO TOCANTINS,1703305,336
BRASILÂNDIA DO TOCANTINS,1703602,337
BREJINHO DE NAZARÉ,1703701,338
BURITI DO TOCANTINS,1703800,339
CACHOEIRINHA,1703826,340
CAMPOS LINDOS,1703842,341
CARIRI DO TOCANTINS,1703867,342
CARMOLÂNDIA,1703883,343
CARRASCO BONITO,1703891,344
CASEARA,1703909,345
CENTENÁRIO,1704105,346
CHAPADA DE AREIA,1704600,347
CHAPADA DA NATIVIDADE,1705102,348
COLINAS DO TOCANTINS,1705508,349
COMBINADO,1705557,350
CONCEIÇÃO DO TOCANTINS,1705607,351
COUTO MAGALHÃES,1706001,352
CRISTALÂNDIA,1706100,353
CRIXÁS DO TOCANTINS,1706258,354
DARCINÓPOLIS,1706506,355
DIANÓPOLIS,1707009,356
DIVINÓPOLIS DO TOCANTINS,1707108,357
DOIS IRMÃOS DO TOCANTINS,1707207,358
DUERÉ,1707306,359
ESPERANTINA,1707405,360
FÁTIMA,1707553,361
FIGUEIRÓPOLIS,1707652,362
FILADÉLFIA,1707702,363
FORMOSO DO ARAGUAIA,1708205,364
FORTALEZA DO TABOCÃO,1708254,365
GOIANORTE,1708304,366
GOIATINS,1709005,367
GUARAÍ,1709302,368
GURUPI,1709500,369
IPUEIRAS,1709807,370
ITACAJÁ,1710508,371
ITAGUATINS,1710706,372
ITAPIRATINS,1710904,373
ITAPORÃ DO TOCANTINS,1711100,374
JAÚ DO TOCANTINS,1711506,375
JUARINA,1711803,376
LAGOA DA CONFUSÃO,1711902,377
LAGOA DO TOCANTINS,1711951,378
LAJEADO,1712009,379
LAVANDEIRA,1712157,380
LIZARDA,1712405,381
LUZINÓPOLIS,1712454,382
MARIANÓPOLIS DO TOCANTINS,1712504,383
MATEIROS,1712702,384
MAURILÂNDIA DO TOCANTINS,1712801,385
MIRACEMA DO TOCANTINS,1713205,386
MIRANORTE,1713304,387
MONTE DO CARMO,1713601,388
MONTE SANTO DO TOCANTINS,1713700,389
PALMEIRAS DO TOCANTINS,1713809,390
MURICILÂNDIA,1713957,391
NATIVIDADE,1714203,392
NAZARÉ,1714302,393
NOVA OLINDA,1714880,394
NOVA ROSALÂNDIA,1715002,395
NOVO ACORDO,1715101,396
NOVO ALEGRE,1715150,397
NOVO JARDIM,1715259,398
OLIVEIRA DE FÁTIMA,1715507,399
PALMEIRANTE,1715705,400
PALMEIRÓPOLIS,1715754,401
PARAÍSO DO TOCANTINS,1716109,402
PARANÃ,1716208,403
PAU D'ARCO,1716307,404
